,back_legroom,body_type,dealer_zip,engine_type,exterior_color,front_legroom,fuel_tank_volume,fuel_type,has_accidents,horsepower,interior_color,is_new,make_name,maximum_seating,price,theft_title,torque,transmission,transmission_display,wheel_system,wheelbase,year
268088,--,Convertible,03301,H6,Red,41.6 in,16 gal,Gasoline,True,240.0,Black,False,Porsche,2 seats,14995.0,False,199 lb-ft @ 4700 RPM,A,Automatic,RWD,95.1 in,2006
269615,33.3 in,Sedan,03868,V6 Hybrid,Blue,41.9 in,21.1 gal,Hybrid,False,380.0,Brown (Tan),False,Porsche,4 seats,26975.0,False,428 lb-ft @ 3000 RPM,A,8-Speed Automatic,RWD,114.9 in,2012
271127,--,Convertible,05495,H6,Silver,41.6 in,15 gal,Gasoline,False,201.0,None,False,Porsche,2 seats,9895.0,False,181 lb-ft @ 4500 RPM,M,Manual,RWD,95.2 in,1998
271484,--,Coupe,03103,H6,Silver,--,16.9 gal,Gasoline,True,325.0,Black,False,Porsche,4 seats,33995.0,False,273 lb-ft @ 4250 RPM,M,Manual,RWD,92.5 in,2007
272077,--,Convertible,05468,H6,Black,41.6 in,17.7 gal,Gasoline,False,325.0,Black,False,Porsche,4 seats,39990.0,False,273 lb-ft @ 4250 RPM,A,6-Speed Automatic,AWD,92.5 in,2008
274270,--,SUV / Crossover,49512,V6,Rhodium Silver Metallic,--,19.8 gal,Gasoline,False,340.0,Black,False,Porsche,5 seats,38900.0,False,339 lb-ft @ 1450 RPM,A,7-Speed Automatic,AWD,110.5 in,2016
274435,--,SUV / Crossover,12118,V6,Black,--,23.7 gal,Gasoline,False,340.0,Black,False,Porsche,5 seats,65995.0,False,331 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,114 in,2019
274451,--,SUV / Crossover,12118,I4,White,--,19.8 gal,Gasoline,False,248.0,Black,False,Porsche,5 seats,50995.0,False,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2019
274473,--,SUV / Crossover,12118,I4,Volcano Gray Metallic,--,19.8 gal,Gasoline,False,248.0,Black/Mojave Beige,False,Porsche,5 seats,52995.0,False,273 lb-ft @ 1600 RPM,A,7-Speed Automatic,AWD,110.5 in,2019
274495,--,Coupe,12118,H6,Gentian Blue Metallic,--,17.6 gal,Gasoline,False,443.0,Bordeaux Red/Black,False,Porsche,4 seats,136995.0,False,390 lb-ft @ 2300 RPM,A,8-Speed Automatic,AWD,96.5 in,2020
274529,--,Sedan,12118,V6,Black,--,23.7 gal,Gasoline,False,330.0,Black,False,Porsche,4 seats,70995.0,False,331 lb-ft @ 1340 RPM,A,8-Speed Automatic,AWD,116.1 in,2018
274534,33.3 in,Sedan,12118,V6,Black,41.9 in,26.4 gal,Gasoline,False,300.0,Black,False,Porsche,4 seats,26995.0,False,295 lb-ft @ 3750 RPM,A,7-Speed Automatic,AWD,114.9 in,2012
274540,--,SUV / Crossover,02364,V6,Rhodium Silver Metallic,--,19.8 gal,Gasoline,False,340.0,Black,False,Porsche,5 seats,37654.0,False,339 lb-ft @ 1450 RPM,A,7-Speed Automatic,AWD,110.5 in,2017
274546,--,Coupe,12118,H6,Basalt Black,41.6 in,16 gal,Gasoline,False,320.0,Black,False,Porsche,4 seats,33995.0,False,273 lb-ft @ 4250 RPM,M,6-Speed Manual Overdrive,RWD,92.6 in,2002
